timestamp,cluster,nodes_owned,nodes_borrowed,nodes_offered,nodes_cur_cap,nodes_inuse,nodes_indemand,jobs_waiting,jobs_running,jobs_done,jobs_rerun,cores_owned,cores_cur_cap,cores_inuse,cores_indemand
79,hpc_main,49,0,0,49,1,0,0,1,0,0,1176,1176,24,NA
80,hpc_main,49,0,0,49,1,0,0,1,0,0,1176,1176,24,NA
81,hpc_main,49,0,0,49,1,0,0,1,0,0,1176,1176,24,NA
82,hpc_main,49,0,0,49,1,0,0,1,0,0,1176,1176,24,NA
83,hpc_main,49,0,0,49,1,0,0,1,0,0,1176,1176,24,NA
84,hpc_main,49,0,0,49,1,0,0,1,0,0,1176,1176,24,NA
85,hpc_main,49,0,0,49,1,0,0,1,0,0,1176,1176,24,NA
86,hpc_main,49,0,0,49,1,0,0,1,0,0,1176,1176,24,NA
87,hpc_main,49,0,0,49,1,0,0,1,0,0,1176,1176,24,NA
88,hpc_main,49,0,0,49,1,0,0,1,0,0,1176,1176,24,NA
89,hpc_main,49,0,0,49,1,0,0,1,0,0,1176,1176,24,NA
90,hpc_main,49,0,0,49,1,0,0,1,0,0,1176,1176,24,NA
91,hpc_main,49,0,0,49,1,0,0,1,0,0,1176,1176,24,NA
92,hpc_main,49,0,0,49,1,0,0,1,0,0,1176,1176,24,NA
93,hpc_main,49,0,0,49,1,0,0,1,0,0,1176,1176,24,NA
94,hpc_main,49,0,0,49,1,0,0,1,0,0,1176,1176,24,NA
95,hpc_main,49,0,0,49,1,0,0,1,0,0,1176,1176,24,NA
96,hpc_main,49,0,0,49,1,0,0,1,0,0,1176,1176,24,NA
97,hpc_main,49,0,0,49,1,0,0,1,0,0,1176,1176,24,NA
98,hpc_main,49,0,0,49,1,0,0,1,0,0,1176,1176,24,NA
99,hpc_main,49,0,0,49,1,0,0,1,0,0,1176,1176,24,NA
100,hpc_main,49,0,0,49,1,0,0,1,0,0,1176,1176,24,NA
101,hpc_main,49,0,0,49,1,0,0,1,0,0,1176,1176,24,NA
102,hpc_main,49,0,0,49,1,0,0,1,0,0,1176,1176,24,NA
103,hpc_main,49,0,0,49,1,0,0,1,0,0,1176,1176,24,NA
104,hpc_main,49,0,0,49,1,0,0,1,0,0,1176,1176,24,NA
105,hpc_main,49,0,0,49,1,0,0,1,0,0,1176,1176,24,NA
106,hpc_main,49,0,0,49,1,0,0,1,0,0,1176,1176,24,NA
107,hpc_main,49,0,0,49,1,0,0,1,0,0,1176,1176,24,NA
108,hpc_main,49,0,0,49,1,0,0,1,0,0,1176,1176,24,NA
109,hpc_main,49,0,0,49,1,0,0,1,0,0,1176,1176,24,NA
110,hpc_main,49,0,0,49,1,0,0,1,0,0,1176,1176,24,NA
111,hpc_main,49,0,0,49,1,0,0,1,0,0,1176,1176,24,NA
112,hpc_main,49,0,0,49,1,0,0,1,0,0,1176,1176,24,NA
113,hpc_main,49,0,0,49,1,0,0,1,0,0,1176,1176,24,NA
114,hpc_main,49,0,0,49,1,0,0,1,0,0,1176,1176,24,NA
115,hpc_main,49,0,0,49,1,0,0,1,0,0,1176,1176,24,NA
116,hpc_main,49,0,0,49,1,0,0,1,0,0,1176,1176,24,NA
117,hpc_main,49,0,0,49,1,0,0,1,0,0,1176,1176,24,NA
118,hpc_main,49,0,0,49,1,0,0,1,0,0,1176,1176,24,NA
119,hpc_main,49,0,0,49,1,0,0,1,0,0,1176,1176,24,NA
120,hpc_main,49,0,0,49,1,0,0,1,0,0,1176,1176,24,NA
121,hpc_main,49,0,0,49,1,0,0,1,0,0,1176,1176,24,NA
122,hpc_main,49,0,0,49,1,0,0,1,0,0,1176,1176,24,NA
123,hpc_main,49,0,0,49,1,0,0,1,0,0,1176,1176,24,NA
124,hpc_main,49,0,0,49,1,0,0,1,0,0,1176,1176,24,NA
125,hpc_main,49,0,0,49,1,0,0,1,0,0,1176,1176,24,NA
126,hpc_main,49,0,0,49,1,0,0,1,0,0,1176,1176,24,NA
127,hpc_main,49,0,0,49,1,0,0,1,0,0,1176,1176,24,NA
128,hpc_main,49,0,0,49,1,0,0,1,0,0,1176,1176,24,NA
129,hpc_main,49,0,0,49,1,0,0,1,0,0,1176,1176,24,NA
130,hpc_main,49,0,0,49,1,0,0,1,0,0,1176,1176,24,NA
131,hpc_main,49,0,0,49,1,0,0,1,0,0,1176,1176,24,NA
132,hpc_main,49,0,0,49,1,0,0,1,0,0,1176,1176,24,NA
133,hpc_main,49,0,0,49,1,0,0,1,0,0,1176,1176,24,NA
134,hpc_main,49,0,0,49,1,0,0,1,0,0,1176,1176,24,NA
135,hpc_main,49,0,0,49,1,0,0,1,0,0,1176,1176,24,NA
136,hpc_main,49,0,0,49,1,0,0,1,0,0,1176,1176,24,NA
137,hpc_main,49,0,0,49,1,0,0,1,0,0,1176,1176,24,NA
138,hpc_main,49,0,0,49,1,0,0,1,0,0,1176,1176,24,NA
139,hpc_main,49,0,0,49,1,0,0,1,0,0,1176,1176,24,NA
140,hpc_main,49,0,0,49,1,0,0,1,0,0,1176,1176,24,NA
141,hpc_main,49,0,0,49,1,0,0,1,0,0,1176,1176,24,NA
142,hpc_main,49,0,0,49,1,0,0,1,0,0,1176,1176,24,NA
143,hpc_main,49,0,0,49,1,0,0,1,0,0,1176,1176,24,NA
144,hpc_main,49,0,0,49,1,0,0,1,0,0,1176,1176,24,NA
145,hpc_main,49,0,0,49,1,0,0,1,0,0,1176,1176,24,NA
146,hpc_main,49,0,0,49,1,0,0,1,0,0,1176,1176,24,NA
147,hpc_main,49,0,0,49,1,0,0,1,0,0,1176,1176,24,NA
148,hpc_main,49,0,0,49,1,0,0,1,0,0,1176,1176,24,NA
149,hpc_main,49,0,0,49,1,0,0,1,0,0,1176,1176,24,NA
150,hpc_main,49,0,0,49,1,0,0,1,0,0,1176,1176,24,NA
151,hpc_main,49,0,0,49,1,0,0,1,0,0,1176,1176,24,NA
152,hpc_main,49,0,0,49,1,0,0,1,0,0,1176,1176,24,NA
153,hpc_main,49,0,0,49,1,0,0,1,0,0,1176,1176,24,NA
154,hpc_main,49,0,0,49,1,0,0,1,0,0,1176,1176,24,NA
