trace,arrival,lifespan,cores,jobid,sim,reruns,sim_start,est_end,end,lived,nodenames
trace,1954,267,6,117.0,sim,0,2102,2369,2369,267,'[''hpc_main_node_38'', ''hpc_main_node_18'', ''hpc_main_node_33'', ''hpc_main_node_04'', ''hpc_main_node_30'', ''hpc_main_node_07'']'
trace,1999,267,6,121.0,sim,0,2133,2400,2400,267,'[''hpc_main_node_45'', ''hpc_main_node_47'', ''hpc_main_node_44'', ''hpc_main_node_39'', ''hpc_main_node_02'', ''hpc_main_node_21'']'
trace,2009,268,6,122.0,sim,0,2162,2430,2430,268,'[''hpc_main_node_36'', ''hpc_main_node_13'', ''hpc_main_node_46'', ''hpc_main_node_28'', ''hpc_main_node_43'', ''hpc_main_node_19'']'
trace,1988,327,6,120.0,sim,0,2132,2459,2459,327,'[''hpc_main_node_22'', ''hpc_main_node_25'', ''hpc_main_node_06'', ''hpc_main_node_12'', ''hpc_main_node_05'', ''hpc_main_node_14'']'
trace,2031,327,6,124.0,sim,0,2163,2490,2490,327,'[''hpc_main_node_15'', ''hpc_main_node_40'', ''hpc_main_node_23'', ''hpc_main_node_16'', ''hpc_main_node_27'', ''hpc_main_node_41'']'
trace,1965,387,6,118.0,sim,0,2132,2519,2519,387,'[''hpc_main_node_32'', ''hpc_main_node_10'', ''hpc_main_node_49'', ''hpc_main_node_01'', ''hpc_main_node_34'', ''hpc_main_node_48'']'
trace,2042,267,6,125.0,sim,0,2340,2607,2607,267,'[''hpc_main_node_26'', ''hpc_main_node_35'', ''hpc_main_node_08'', ''hpc_main_node_31'', ''hpc_main_node_42'', ''hpc_main_node_09'']'
trace,2076,267,1,128.0,sim,0,2341,2608,2608,267,'[''hpc_main_node_20'']'
trace,2098,267,1,130.0,sim,0,2341,2608,2608,267,'[''hpc_main_node_37'']'
trace,2054,328,3,126.0,sim,0,2341,2669,2669,328,'[''hpc_main_node_03'', ''hpc_main_node_11'', ''hpc_main_node_17'']'
trace,2619,82,1,132.0,sim,0,2619,2701,2701,82,'[''hpc_main_node_20'']'
trace,2628,73,1,133.0,sim,0,2628,2701,2701,73,'[''hpc_main_node_37'']'
trace,2636,65,1,134.0,sim,0,2636,2701,2701,65,'[''hpc_main_node_45'']'
trace,2086,447,1,129.0,sim,0,2341,2788,2788,447,'[''hpc_main_node_29'']'
trace,2992,249,6,137.0,sim,0,2992,3241,3241,249,'[''hpc_main_node_45'', ''hpc_main_node_47'', ''hpc_main_node_44'', ''hpc_main_node_39'', ''hpc_main_node_02'', ''hpc_main_node_21'']'
trace,3004,267,6,138.0,sim,0,3004,3271,3271,267,'[''hpc_main_node_26'', ''hpc_main_node_35'', ''hpc_main_node_08'', ''hpc_main_node_31'', ''hpc_main_node_42'', ''hpc_main_node_09'']'
trace,3027,244,6,140.0,sim,0,3027,3271,3271,244,'[''hpc_main_node_38'', ''hpc_main_node_18'', ''hpc_main_node_33'', ''hpc_main_node_04'', ''hpc_main_node_30'', ''hpc_main_node_07'']'
trace,2981,320,6,136.0,sim,0,2981,3301,3301,320,'[''hpc_main_node_03'', ''hpc_main_node_11'', ''hpc_main_node_17'', ''hpc_main_node_20'', ''hpc_main_node_29'', ''hpc_main_node_37'']'
trace,3049,252,6,142.0,sim,0,3049,3301,3301,252,'[''hpc_main_node_22'', ''hpc_main_node_25'', ''hpc_main_node_06'', ''hpc_main_node_12'', ''hpc_main_node_05'', ''hpc_main_node_14'']'
