original_trace_values,,,,,Simulation_recorded_values,,
start_time,lifespan,cores,ram,jobid,sim_start_time,actual_cores_allocated,sim_end_time,sim_lifespan,actual_cores_released
6041,4080.0,1.0,2.0,118.0,6041,1.0,10121,4080,1.0
6054,4069.0,4.0,7.0,119.0,6054,4.0,10123,4069,4.0
6033,4098.0,1.0,2.0,116.0,6033,1.0,10131,4098,1.0
6023,4111.0,2.0,3.5,115.0,6023,2.0,10134,4111,2.0
6841,3535.0,8.0,14.0,152.0,6841,8.0,10376,3535,8.0
6850,3529.0,1.0,2.0,154.0,6850,1.0,10379,3529,1.0
6833,3547.0,8.0,14.0,151.0,6833,8.0,10380,3547,8.0
6825,3559.0,8.0,14.0,149.0,6825,8.0,10384,3559,8.0
6818,3570.0,1.0,2.0,148.0,6818,1.0,10388,3570,1.0
6809,3595.0,8.0,14.0,146.0,6809,8.0,10404,3595,8.0
6802,3612.0,8.0,14.0,145.0,6802,8.0,10414,3612,8.0
6793,3649.0,8.0,14.0,143.0,6793,8.0,10442,3649,8.0
6785,3685.0,1.0,2.0,142.0,6785,1.0,10470,3685,1.0
6777,3721.0,1.0,2.0,140.0,6777,1.0,10498,3721,1.0
6764,3757.0,4.0,7.0,139.0,6764,4.0,10521,3757,4.0
6756,3787.0,1.0,2.0,137.0,6756,1.0,10543,3787,1.0
6746,3817.0,8.0,14.0,136.0,6746,8.0,10563,3817,8.0
6737,3847.0,1.0,2.0,134.0,6737,1.0,10584,3847,1.0
6729,3858.0,2.0,3.5,133.0,6729,2.0,10587,3858,2.0
7480,3493.0,8.0,14.0,158.0,7480,8.0,10973,3493,8.0
7492,3487.0,1.0,2.0,160.0,7492,1.0,10979,3487,1.0
7458,3523.0,2.0,3.5,155.0,7458,2.0,10981,3523,2.0
7472,3511.0,1.0,2.0,157.0,7472,1.0,10983,3511,1.0
7500,3488.0,8.0,14.0,161.0,7500,8.0,10988,3488,8.0
7525,3463.0,1.0,2.0,166.0,7525,1.0,10988,3463,1.0
7509,3480.0,2.0,3.5,163.0,7509,2.0,10989,3480,2.0
7573,3416.0,2.0,3.5,175.0,7573,2.0,10989,3416,2.0
7517,3475.0,2.0,3.5,164.0,7517,2.0,10992,3475,2.0
7565,3427.0,1.0,2.0,173.0,7565,1.0,10992,3427,1.0
7581,3415.0,1.0,2.0,176.0,7581,1.0,10996,3415,1.0
7534,3464.0,2.0,3.5,167.0,7534,2.0,10998,3464,2.0
7541,3457.0,1.0,2.0,169.0,7541,1.0,10998,3457,1.0
7589,3409.0,1.0,2.0,178.0,7589,1.0,10998,3409,1.0
