timestamp,cluster,nodes_owned,nodes_cur_cap,nodes_inuse,nodes_indemand,cores_owned,cores_cur_cap,cores_inuse,cores_indemand,jobs_waiting,jobs_running,jobs_done,work_max,work_cur,work_done
0,bigdata_main,26,26,0,0,624,624,0,0,0,0,0,0,0,0
1,bigdata_main,26,26,0,0,624,624,0,0,0,0,0,624,0,0
2,bigdata_main,26,26,0,0,624,624,0,0,0,0,0,1248,0,0
3,bigdata_main,26,26,0,0,624,624,0,0,0,0,0,1872,0,0
4,bigdata_main,26,26,0,0,624,624,0,0,0,0,0,2496,0,0
5,bigdata_main,26,26,0,0,624,624,0,0,0,0,0,3120,0,0
6,bigdata_main,26,26,0,0,624,624,0,0,0,0,0,3744,0,0
7,bigdata_main,26,26,0,1,624,624,0,4,2,0,0,4368,0,0
8,bigdata_main,26,26,0,1,624,624,0,4,2,0,0,4992,0,0
9,bigdata_main,26,26,0,1,624,624,0,4,2,0,0,5616,0,0
10,bigdata_main,26,26,0,1,624,624,0,8,4,0,0,6240,0,0
11,bigdata_main,26,26,0,1,624,624,0,8,4,0,0,6864,0,0
12,bigdata_main,26,26,1,1,624,624,4,4,2,2,0,7488,48,0
13,bigdata_main,26,26,1,1,624,624,4,4,2,2,0,8112,52,0
14,bigdata_main,26,26,1,1,624,624,4,8,4,2,0,8736,56,0
15,bigdata_main,26,26,1,1,624,624,8,4,2,4,0,9360,120,0
16,bigdata_main,26,26,1,1,624,624,8,4,2,4,0,9984,128,0
17,bigdata_main,26,26,1,1,624,624,8,4,2,4,0,10608,136,0
18,bigdata_main,26,26,1,1,624,624,8,4,2,4,0,11232,144,0
19,bigdata_main,26,26,1,1,624,624,12,16,8,6,0,11856,228,0
20,bigdata_main,26,26,1,2,624,624,12,26,13,6,0,12480,240,0
21,bigdata_main,26,26,1,2,624,624,12,26,13,6,0,13104,252,0
22,bigdata_main,26,26,1,2,624,624,12,46,23,6,0,13728,264,0
23,bigdata_main,26,26,1,2,624,624,12,46,23,6,0,14352,276,0
24,bigdata_main,26,26,1,2,624,624,12,46,23,6,0,14976,288,0
25,bigdata_main,26,26,2,2,624,624,26,32,16,13,0,15600,650,0
